description,category
Garbages are dumped here and cows also graze here cows think that is food and eats it with cover and it dies so pls put a roadside bin,Waste/Garbage
Garbages are dumped here so the smell is stinky and no one come closer to it so pls clean this garbages and it cause odour smell,Waste/Garbage
Garbages are dumped here so that it stinks a lot pls put a garbage bin here for use so that we can save our environment by stop polluting,Waste/Garbage
"Garbages are dumped here are diapers left over food etc so it stinks like a garbage vehicle crossing by so pls put a bin
",Waste/Garbage
They are leaving the drainage in vacant lot and it stinks in it many Mosquitos are there and this causes many health problems so pls make a underground sewage system in Ayanambakkam ward,Sewage
Request to clean,Waste/Garbage
Request to clean,Waste/Garbage
Drainage,Potholes
Drainage and air pollution,Water
"damaged road place like 
",Potholes
damaged roads plus like,Potholes
Because of this no one can walk in  footpath pls take this to the municipality,Traffic/Parking
"Bad smell came in the corner of the road,Lakshmi street.",Waste/Garbage
If rains there Will be a shock if any one steps on the Water,Streetlights
Cable wire hanging down. Recover it please.,Streetlights
Pothole on side of road,Potholes
Pothole on center of road,Potholes
Hump of soil on the road and it skits the vehicle,Water
"Garbage dumped in roads
",Waste/Garbage
Garbage dumped,Waste/Garbage
The dustbin is dirty and it is full. Garbage is thrown  away around the bin.,Waste/Garbage
Has blocked gate and half of the road by parking itself,Traffic/Parking
The colony president should be dismissed and new president should be encouraged,Waste/Garbage
"The dustbin being empty, still the garbage is dumped outside the dustbin only.",Waste/Garbage
Garbage is being dumped in open areas,Waste/Garbage
"The dustbin is empty, still the garbage is dumped around the dustbin.
No action or initiative has been taken up yet.",Waste/Garbage
Garbage dumped in roadside,Waste/Garbage
Lots of garbage waste are unloaded frequently. This area stinks,Waste/Garbage
Alot of garbage in front of a college,Waste/Garbage
Too many plastics!!!,Waste/Garbage
At the back of a bus shelter,Waste/Garbage
Keep clean,Waste/Garbage
Wires and junction boxes are hanging in the middle disturbing pedestrians,Streetlights
"The dustbin is never cleaned regularly.,we can simply reduce the use of plastics and dumping them ..we can set 2 dustbins in each flat one for biodegradable and other for non-biodegradable items
",Waste/Garbage
The manhole protruding outside is very close to a speed breaker making it invisible to drivers and all the more dangerous.,Potholes
It's not cleaned regularly which has let to give black spot. It's spreading to road.,Waste/Garbage
"This is supposed to be a footpath,
Covered with rubbish and a huge hole gaping in the centre.
And to think the stone slab to cover the hole is nearby.",Water
"This pile of stones covers the footpath and makes an ideal home for stray dogs.

It would be great if this was cleared.",Waste/Garbage
"This multi-pile stone pillage is for a repair work.

That work caused a roadblock-acceptable.

This rubble does the same-thats too much inconvenience to cope with.",Waste/Garbage
No street light and garbage is being dumped,Potholes
"Near my house many shops are there on the walking platform and many park there vehicle to buy things.Due to this the road is confused
",Traffic/Parking
This dust bin is broken and they havent repaired this,Waste/Garbage
This pathhole is very dangerous when we are driving vehickles we get injured,Potholes
This can be repared little higher when we drive on it we stuck in it,Potholes
Uncomfortable for driving,Potholes
Scared that someone will fall inside,Potholes
Because of this many accidents are happening,Sewage
"Water leaking onto the sand and road makes the area muddy, slippery and dirty.",Water
This place is stinking and not cleared for many days,Waste/Garbage
Broken vehicles are thrown here. Please take action,Waste/Garbage
This area stinks . So please clean it up,Waste/Garbage
Garbages  are  disposed out side the dustbin please try to clear it,Waste/Garbage
"Water lorry flows the water into streets and  make the 
Street flooded",Water
Garbage is contaminating the land causing land pollution,Waste/Garbage
This hole is there for years but in different ways and for different things this caused a accident for a man who came in two wheeler,Potholes
Land pollution,Waste/Garbage
Even ambulances are parking there vehicle's in the footpath. This should be fined a huge amount by the government officers. ,Traffic/Parking
In these areas all the people are parking there vehicle's in the footpath. This causes accidents. Government should take care of it. ,Traffic/Parking
Garbage not put in dustbin,Waste/Garbage
I these areas the people are parking there vehicle's in the footpath. This even causes accidents. Government officials should take care of it. ,Traffic/Parking
"Unfair drainage , which too improve the lives of mosquitoes and improper work",Sewage
In these places the fast food stalls were kept. It causes accidents. Government should take care of it. ,Traffic/Parking
There can be a lot of dangers caused by garbage near the railway tracks.,Waste/Garbage
"no one even efforts to clean the garbage 
it is in this place for several months",Waste/Garbage
The hanging cable wires are a lot of disturbance and even gives a bad look to the society,Streetlights
"it gives a very bad smell
",Waste/Garbage
Land pollution,Waste/Garbage
Drunk plastic bottles are thrown in railway station ,Waste/Garbage
Potholes causes accidents. It can skit the vehicles passing through the road. ,Potholes
Potholes causes accidents. Municipalities should take care of it. ,Potholes
Overflow of garbage,Waste/Garbage
In these areas the vehicles will skit and causes severe accidents. ,Potholes
People can't pass through this road as there are many potholes which causes severe accidents. ,Potholes
These potholes should be treated by the government. This can make the wheel of the vehicles break .,Potholes
In these areas more  than 24 people have got accidents due to this potholes  .,Potholes
In these places if any rain these potholes are not visible and causes severe accidents. ,Potholes
These potholes causes accidents. This should be cleared by the government. ,Potholes
If there is any rain these potholes are not visible so these causes accidents. ,Potholes
Install more dustbins on road sides,Waste/Garbage
Install more dustbins on road sides,Waste/Garbage
This is the dirty place near our area please clear this,Waste/Garbage
Clear garbage on road sides,Waste/Garbage
Please ???? it,Waste/Garbage
Garbage dump has to be cleared,Waste/Garbage
Please ???? it,Waste/Garbage
Please fix the hole ????,Potholes
Please ???? it,Waste/Garbage
Please fix it,Streetlights
Please fix it,Potholes
"Please fix it 
",Potholes
Please clean ???? it,Waste/Garbage
"No street lights 
We cannot see clearly in night time",Streetlights
"Please fix it 
",Traffic/Parking
"Please fix it 
",Potholes
"Please fix it 
M",Potholes
Please fix it,Potholes
Please fix it,Potholes
Please clean ????,Waste/Garbage
This is the signal near two ????. Where there is a pharmacy back of it and which has a green sign board which camouflages the signal,Streetlights
